                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.58427,                0.42783,                0.94947,                0.95967,                0.94721,                0.98183,                0.88562,                0.49129,                0.31392,                 0.8871,                0.00208,                0.00208,                0.00208
                     82,                0.57977,                0.42556,                0.94589,                 0.9595,                0.94684,                0.98182,                0.88625,                0.49009,                0.31377,                0.88677,               0.001981,               0.001981,               0.001981
                     83,                0.57757,                0.42444,                0.94924,                0.96101,                0.94755,                0.98184,                0.88682,                0.49156,                0.31451,                0.88744,               0.001882,               0.001882,               0.001882
                     84,                0.57964,                0.41811,                0.94595,                 0.9553,                0.95085,                0.98182,                0.88656,                0.49262,                 0.3146,                0.88797,               0.001783,               0.001783,               0.001783
                     85,                0.57236,                0.41541,                0.94631,                0.95432,                 0.9534,                 0.9818,                 0.8862,                0.49214,                0.31433,                0.88759,               0.001684,               0.001684,               0.001684
                     86,                0.57667,                0.41594,                0.95084,                0.95954,                0.94715,                0.98203,                0.88659,                0.49159,                0.31286,                 0.8873,               0.001585,               0.001585,               0.001585
                     87,                0.56439,                0.40636,                 0.9433,                0.96035,                0.94804,                0.98225,                0.88703,                0.49165,                0.31203,                0.88731,               0.001486,               0.001486,               0.001486
                     88,                0.56189,                 0.4051,                0.94034,                0.96161,                0.94901,                0.98223,                0.88796,                0.49117,                0.31216,                0.88729,               0.001387,               0.001387,               0.001387
                     89,                0.56294,                0.40107,                 0.9433,                0.96169,                0.94954,                0.98242,                 0.8879,                0.49075,                0.31104,                0.88694,               0.001288,               0.001288,               0.001288
                     90,                0.56179,                0.39996,                0.94166,                0.96043,                0.95067,                0.98262,                 0.8882,                0.49034,                0.31002,                 0.8869,               0.001189,               0.001189,               0.001189
                     91,                0.46295,                0.28177,                0.87955,                0.96107,                0.95001,                 0.9828,                0.88939,                0.48925,                0.30874,                0.88679,                0.00109,                0.00109,                0.00109
                     92,                0.44874,                0.26484,                0.87517,                0.96076,                0.95048,                0.98296,                0.88967,                0.48852,                0.30827,                0.88655,               0.000991,               0.000991,               0.000991
                     93,                 0.4396,                0.25758,                0.86978,                0.96113,                0.95059,                0.98299,                0.89016,                0.48717,                0.30769,                0.88605,               0.000892,               0.000892,               0.000892
                     94,                0.43464,                0.25611,                0.86922,                0.96024,                0.95072,                0.98294,                0.89071,                0.48651,                0.30781,                0.88588,               0.000793,               0.000793,               0.000793
                     95,                0.42981,                0.25151,                0.87139,                0.96202,                0.94801,                0.98291,                0.89124,                0.48618,                 0.3076,                 0.8858,               0.000694,               0.000694,               0.000694
                     96,                0.42068,                0.24528,                   0.86,                0.95986,                0.95071,                0.98318,                0.89072,                0.48571,                0.30686,                0.88573,               0.000595,               0.000595,               0.000595
                     97,                0.41941,                0.24313,                0.86577,                0.95855,                0.95196,                0.98314,                0.89123,                 0.4851,                0.30676,                0.88555,               0.000496,               0.000496,               0.000496
                     98,                0.41339,                0.23909,                0.86155,                0.95812,                0.95221,                 0.9832,                0.89132,                0.48463,                0.30653,                0.88545,               0.000397,               0.000397,               0.000397
                     99,                 0.4118,                0.23597,                0.85868,                0.95761,                0.95329,                0.98302,                 0.8922,                0.48397,                0.30604,                0.88523,               0.000298,               0.000298,               0.000298
                    100,                0.40983,                0.23454,                0.85893,                 0.9563,                0.95382,                0.98309,                0.89241,                0.48357,                0.30556,                0.88519,               0.000199,               0.000199,               0.000199
