number_of_images,model,fold,mAP,folder
50,yolov8s,5,0.95,5_classes_b
50,yolov8m,1,0.741,5_classes_b
50,yolov8m,2,0.677,5_classes_b
50,yolov8m,3,0.692,5_classes_b
50,yolov8m,4,0.707,5_classes_b
50,yolov8m,5,0.676,5_classes_b
50,yolov8l,1,0.456,5_classes_b
50,yolov8l,2,0.519,5_classes_b
50,yolov8l,3,0.567,5_classes_b
50,yolov8l,4,0.596,5_classes_b
50,yolov8l,5,0.608,5_classes_b
50,yolov8x,1,0.537,5_classes_b
50,yolov8x,2,0.566,5_classes_b
50,yolov8x,3,0.42,5_classes_b
50,yolov8x,4,0.504,5_classes_b
50,yolov8x,5,0.537,5_classes_b
100,yolov8n,1,0.832,5_classes_b
100,yolov8n,2,0.813,5_classes_b
100,yolov8n,3,0.77,5_classes_b
100,yolov8n,4,0.759,5_classes_b
100,yolov8n,5,0.795,5_classes_b
100,yolov8s,1,0.827,5_classes_b
100,yolov8s,2,0.857,5_classes_b
100,yolov8s,3,0.829,5_classes_b
100,yolov8s,4,0.844,5_classes_b
100,yolov8s,5,0.883,5_classes_b
100,yolov8m,1,0.755,5_classes_b
100,yolov8m,2,0.732,5_classes_b
100,yolov8m,3,0.736,5_classes_b
100,yolov8m,4,0.726,5_classes_b
100,yolov8m,5,0.731,5_classes_b
100,yolov8l,1,0.527,5_classes_b
100,yolov8l,2,0.363,5_classes_b
100,yolov8l,3,0.651,5_classes_b
100,yolov8l,4,0.488,5_classes_b
100,yolov8l,5,0.601,5_classes_b
100,yolov8x,1,0.165,5_classes_b
100,yolov8x,2,0.378,5_classes_b
100,yolov8x,3,0.462,5_classes_b
100,yolov8x,4,0.529,5_classes_b
100,yolov8x,5,0.799,5_classes_b
250,yolov8n,1,0.921,5_classes_b
250,yolov8n,2,0.991,5_classes_b
250,yolov8n,3,0.991,5_classes_b
250,yolov8n,4,0.992,5_classes_b
250,yolov8n,5,0.991,5_classes_b
250,yolov8s,1,0.912,5_classes_b
250,yolov8s,2,0.978,5_classes_b
250,yolov8s,3,0.99,5_classes_b
250,yolov8s,4,0.989,5_classes_b
250,yolov8s,5,0.984,5_classes_b
250,yolov8m,1,0.905,5_classes_b
250,yolov8m,2,0.991,5_classes_b
250,yolov8m,3,0.994,5_classes_b
250,yolov8m,4,0.994,5_classes_b
250,yolov8m,5,0.991,5_classes_b
250,yolov8l,1,0.869,5_classes_b
250,yolov8l,2,0.938,5_classes_b
250,yolov8l,3,0.943,5_classes_b
250,yolov8l,4,0.915,5_classes_b
250,yolov8l,5,0.904,5_classes_b
250,yolov8x,1,0.797,5_classes_b
250,yolov8x,2,0.831,5_classes_b
250,yolov8x,3,0.867,5_classes_b
250,yolov8x,4,0.904,5_classes_b
250,yolov8x,5,0.864,5_classes_b
500,yolov8n,1,0.947,5_classes_b
500,yolov8n,2,0.954,5_classes_b
500,yolov8n,3,0.963,5_classes_b
500,yolov8n,4,0.947,5_classes_b
500,yolov8n,5,0.972,5_classes_b
500,yolov8s,1,0.943,5_classes_b
500,yolov8s,2,0.954,5_classes_b
500,yolov8s,3,0.946,5_classes_b
500,yolov8s,4,0.953,5_classes_b
500,yolov8s,5,0.966,5_classes_b
500,yolov8m,1,0.94,5_classes_b
500,yolov8m,2,0.973,5_classes_b
500,yolov8m,3,0.965,5_classes_b
500,yolov8m,4,0.962,5_classes_b
500,yolov8m,5,0.968,5_classes_b
500,yolov8l,1,0.936,5_classes_b
500,yolov8l,2,0.938,5_classes_b
500,yolov8l,3,0.971,5_classes_b
500,yolov8l,4,0.976,5_classes_b
500,yolov8l,5,0.982,5_classes_b
500,yolov8x,1,0.865,5_classes_b
500,yolov8x,2,0.872,5_classes_b
500,yolov8x,3,0.882,5_classes_b
500,yolov8x,4,0.905,5_classes_b
500,yolov8x,5,0.925,5_classes_b
750,yolov8n,1,0.97,5_classes_b
750,yolov8n,2,0.952,5_classes_b
750,yolov8n,3,0.948,5_classes_b
750,yolov8n,4,0.972,5_classes_b
750,yolov8n,5,0.974,5_classes_b
750,yolov8s,1,0.96,5_classes_b
750,yolov8s,2,0.954,5_classes_b
750,yolov8s,3,0.972,5_classes_b
750,yolov8s,4,0.977,5_classes_b
750,yolov8s,5,0.976,5_classes_b
750,yolov8m,1,0.947,5_classes_b
750,yolov8m,2,0.963,5_classes_b
750,yolov8m,3,0.942,5_classes_b
750,yolov8m,4,0.954,5_classes_b
750,yolov8m,5,0.945,5_classes_b
750,yolov8l,1,0.924,5_classes_b
750,yolov8l,2,0.95,5_classes_b
750,yolov8l,3,0.963,5_classes_b
750,yolov8l,4,0.957,5_classes_b
750,yolov8l,5,0.976,5_classes_b
750,yolov8x,1,0.922,5_classes_b
750,yolov8x,2,0.92,5_classes_b
750,yolov8x,3,0.867,5_classes_b
750,yolov8x,4,0.896,5_classes_b
750,yolov8x,5,0.878,5_classes_b
1000,yolov8n,1,0.971,5_classes_b
1000,yolov8n,2,0.966,5_classes_b
1000,yolov8n,3,0.973,5_classes_b
1000,yolov8n,4,0.941,5_classes_b
1000,yolov8n,5,0.976,5_classes_b
1000,yolov8s,1,0.963,5_classes_b
1000,yolov8s,2,0.964,5_classes_b
1000,yolov8s,3,0.971,5_classes_b
1000,yolov8s,4,0.975,5_classes_b
1000,yolov8s,5,0.98,5_classes_b
1000,yolov8m,1,0.968,5_classes_b
1000,yolov8m,2,0.95,5_classes_b
1000,yolov8m,3,0.942,5_classes_b
1000,yolov8m,4,0.946,5_classes_b
1000,yolov8m,5,0.961,5_classes_b
1000,yolov8l,1,0.966,5_classes_b
1000,yolov8l,2,0.959,5_classes_b
1000,yolov8l,3,0.942,5_classes_b
1000,yolov8l,4,0.955,5_classes_b
1000,yolov8l,5,0.984,5_classes_b
1000,yolov8x,1,0.926,5_classes_b
1000,yolov8x,2,0.935,5_classes_b
1000,yolov8x,3,0.934,5_classes_b
1000,yolov8x,4,0.949,5_classes_b
1000,yolov8x,5,0.931,5_classes_b
10,yolov8n,1,0.314,10_classes_a
10,yolov8n,2,0.42,10_classes_a
10,yolov8n,3,0.616,10_classes_a
10,yolov8n,4,0.77,10_classes_a
10,yolov8n,5,0.942,10_classes_a
10,yolov8s,1,0.371,10_classes_a
10,yolov8s,2,0.92,10_classes_a
10,yolov8s,3,0.987,10_classes_a
10,yolov8s,4,0.995,10_classes_a
10,yolov8s,5,0.995,10_classes_a
10,yolov8m,1,0.391,10_classes_a
10,yolov8m,2,0.868,10_classes_a
10,yolov8m,3,0.884,10_classes_a
10,yolov8m,4,0.934,10_classes_a
10,yolov8m,5,0.995,10_classes_a
10,yolov8l,1,0.395,10_classes_a
10,yolov8l,2,0.651,10_classes_a
10,yolov8l,3,0.466,10_classes_a
10,yolov8l,4,0.503,10_classes_a
10,yolov8l,5,0.672,10_classes_a
10,yolov8x,1,0.281,10_classes_a
10,yolov8x,2,0.572,10_classes_a
10,yolov8x,3,0.563,10_classes_a
10,yolov8x,4,0.578,10_classes_a
10,yolov8x,5,0.563,10_classes_a
20,yolov8n,1,0.59,10_classes_a
20,yolov8n,2,0.828,10_classes_a
20,yolov8n,3,0.874,10_classes_a
20,yolov8n,4,0.887,10_classes_a
20,yolov8n,5,0.962,10_classes_a
20,yolov8s,1,0.671,10_classes_a
20,yolov8s,2,0.68,10_classes_a
20,yolov8s,3,0.961,10_classes_a
20,yolov8s,4,0.95,10_classes_a
20,yolov8s,5,0.919,10_classes_a
20,yolov8m,1,0.535,10_classes_a
20,yolov8m,2,0.856,10_classes_a
20,yolov8m,3,0.864,10_classes_a
20,yolov8m,4,0.796,10_classes_a
20,yolov8m,5,0.873,10_classes_a
20,yolov8l,1,0.409,10_classes_a
20,yolov8l,2,0.391,10_classes_a
20,yolov8l,3,0.515,10_classes_a
20,yolov8l,4,0.513,10_classes_a
20,yolov8l,5,0.602,10_classes_a
20,yolov8x,1,0.374,10_classes_a
20,yolov8x,2,0.335,10_classes_a
20,yolov8x,3,0.484,10_classes_a
20,yolov8x,4,0.559,10_classes_a
20,yolov8x,5,0.502,10_classes_a
50,yolov8n,1,0.669,10_classes_a
50,yolov8n,2,0.701,10_classes_a
50,yolov8n,3,0.609,10_classes_a
50,yolov8n,4,0.696,10_classes_a
50,yolov8n,5,0.742,10_classes_a
50,yolov8s,1,0.829,10_classes_a
50,yolov8s,2,0.882,10_classes_a
50,yolov8s,3,0.849,10_classes_a
50,yolov8s,4,0.902,10_classes_a
50,yolov8s,5,0.939,10_classes_a
50,yolov8m,1,0.699,10_classes_a
50,yolov8m,2,0.737,10_classes_a
50,yolov8m,3,0.657,10_classes_a
50,yolov8m,4,0.77,10_classes_a
50,yolov8m,5,0.827,10_classes_a
50,yolov8l,1,0.286,10_classes_a
50,yolov8l,2,0.497,10_classes_a
50,yolov8l,3,0.398,10_classes_a
50,yolov8l,4,0.467,10_classes_a
50,yolov8l,5,0.58,10_classes_a
50,yolov8x,1,0.347,10_classes_a
50,yolov8x,2,0.322,10_classes_a
50,yolov8x,3,0.478,10_classes_a
50,yolov8x,4,0.64,10_classes_a
50,yolov8x,5,0.619,10_classes_a
100,yolov8n,1,0.683,10_classes_a
100,yolov8n,2,0.742,10_classes_a
